"Model","RMSE","R2"
"Stochastic Gradient Boosting",3.11851084230949,0.889427478549464
"Random Forest",3.13763590498168,0.892161078921882
"Linear Regression",4.58894782498074,0.76112604436085
"glmnet",4.59597045234133,0.76219944458602
